First Name,Last Name,Date of Birth,Address,Zipcode,Gender,Race / Ethnicity,English Fluency,Spanish Fluency,Education,High School GPA,College GPA,Years of Experience,Years of Volunteering,Myers Briggs Type,Twitter followers,Instagram Followers,Requires Sponsorship,Customer Satisfaction Rating,Sales Rating,Fired
Kathleen,Mercado,1997-06-26,51332 Zachary Grove Apt. 532,60531,Female,Black,Fluent,Basic,Associates,3.54,3.27,2.4,0.0,ENTJ,377,1835,True,1.09,1.21,Current Employee
Joel,Hartman,1985-08-09,643 Kurt Ranch Suite 676,86553,Male,Black,Fluent,Basic,High School,3.02,3.12,14.0,0.0,ISFJ,821,1184,False,3.43,3.03,Current Employee
Monica,Barry,1983-09-10,0790 Carla Drives,43357,Female,Black,Fluent,Basic,High School,3.93,3.44,15.7,0.0,ISTJ,398,2446,False,3.75,3.46,Current Employee
Alexis,King,1985-10-26,50461 Jillian Shore,60531,Female,Black,Basic,Basic,None,,,12.6,0.0,ISFJ,729,2182,False,2.66,2.24,Current Employee
Melissa,Cameron,1987-01-21,6578 Hernandez Parkway,59010,Female,Black,Proficient,Basic,High School,3.29,2.85,10.5,0.0,ENFJ,1145,582,False,2.73,2.42,Current Employee
Nancy,Campbell,1993-05-16,48385 Jenkins Parkway Suite 570,60531,Female,Black,Proficient,Basic,None,,,5.6,0.0,ISFP,468,895,False,1.4,1.15,Current Employee
Brian,Taylor,1987-03-07,32558 Stephanie Ford,60531,Male,Black,Proficient,Basic,High School,2.58,2.65,12.7,0.0,ENTJ,525,906,False,3.05,2.86,Current Employee
Amber,Bruce,1994-03-10,5267 Lori Neck,55864,Female,Black,Proficient,Basic,High School,3.49,2.79,5.8,0.0,ISFJ,475,1320,False,1.57,1.35,Current Employee
Michael,Ayers,1984-11-18,6945 Katie Port Apt. 820,59010,Male,Black,Fluent,Basic,High School,2.16,3.36,14.7,0.0,INFP,580,3753,False,3.62,3.28,Current Employee
Julia,Fox,1991-01-02,39055 Collins Square,72361,Female,Black,Fluent,Basic,High School,3.78,3.72,6.1,0.0,ESTJ,430,835,False,1.77,1.67,Current Employee
Krystal,Morris,1987-12-21,795 Floyd Corner Suite 028,60531,Female,Black,Basic,Basic,High School,3.35,3.36,11.9,0.0,ESFP,399,2643,True,2.83,2.57,Current Employee
Krystal,Lang,1986-12-10,4664 Woods Skyway,59010,Female,Black,Proficient,Basic,High School,2.84,3.64,12.9,0.0,ESFJ,312,634,False,3.18,2.81,Current Employee
Cynthia,Lyons,1988-06-10,011 Edwards Parkway,55864,Female,Black,Proficient,Basic,High School,3.93,2.9,11.2,0.0,ENTP,1597,4033,False,2.85,2.73,Current Employee
Brandy,Williams,1998-05-29,938 Jacobson Field,30167,Female,Black,Fluent,Basic,None,,,0.2,0.0,ISTP,394,568,False,0.23,0.23,Fired
Daniel,Jensen,1997-10-26,214 Case Walks,60531,Male,Black,Basic,Basic,None,,,1.4,0.0,INFP,326,606,False,0.31,0.19,Fired
Jaime,Murphy,1988-06-04,530 Andrade Port,59010,Female,Black,Basic,Basic,High School,2.51,2.8,10.3,0.0,ESFP,312,4993,False,2.45,2.19,Current Employee
Charles,Jones,1985-01-25,49077 Santos Terrace,59010,Male,Black,Basic,Proficient,None,,,12.8,0.0,INTJ,321,25622,True,2.71,2.55,Current Employee
Bradley,Atkinson,1986-11-14,685 Williams Tunnel Apt. 623,30167,Male,Black,Proficient,Basic,None,,,11.3,0.0,ISTJ,524,3662,False,2.48,2.22,Current Employee
Wendy,May,1998-03-18,9822 Yang Via Suite 903,60531,Female,Black,Fluent,Basic,High School,3.59,3.06,0.3,0.0,ISTJ,397,791,False,0.39,0.42,Fired
Lauren,Horne,1993-11-13,35686 Bridget Harbor,30167,Female,Black,Proficient,Basic,High School,2.94,2.6,3.5,0.0,ESFJ,386,2061,False,1.16,0.97,Current Employee
Robert,Martinez,1988-05-15,440 Jackson Islands,60531,Male,Black,Basic,Basic,High School,2.57,3.16,10.7,0.0,ESTJ,488,1459,True,2.38,2.25,Current Employee
Harold,Jackson,1993-12-30,31162 Tanya Locks,55864,Male,Black,Fluent,Basic,Associates,3.81,3.48,4.6,0.0,INFJ,1403,971,False,1.59,1.49,Current Employee
Kimberly,Warren,1985-11-10,107 Nicole Parkway Apt. 842,43357,Female,Black,Fluent,Basic,Associates,3.72,2.91,11.1,0.0,ENTJ,966,1123,False,2.96,2.87,Current Employee
Debbie,Coleman,1995-05-18,484 Lonnie River Suite 072,60531,Female,Black,Basic,Basic,High School,2.37,3.71,3.4,0.0,ESFP,308,1822,False,0.95,0.83,Current Employee
Barbara,Johnson,1987-01-30,3384 Linda Lodge,30167,Female,Black,Proficient,Basic,High School,2.18,2.66,10.9,0.0,ESTJ,353,2204,False,2.62,2.44,Current Employee
Michelle,Harvey,1995-06-27,3035 Parker Field Suite 685,30167,Female,Black,Basic,Basic,High School,2.82,2.81,4.5,0.0,ISTJ,309,5163,False,0.94,0.92,Current Employee
Christy,Carter,1985-01-11,218 Jennifer Cove,43711,Female,Black,Proficient,Basic,High School,3.88,3.3,14.2,0.0,ISTP,322,750,False,3.36,3.16,Current Employee
Jamie,Vaughan,1993-04-10,3998 Drake Drive,86553,Female,Black,Proficient,Basic,High School,2.75,3.98,6.0,0.0,ISFJ,941,953,False,1.58,1.35,Current Employee
Kenneth,Baker,1987-10-09,2896 Garcia Cove Apt. 209,30167,Male,Black,Fluent,Basic,None,,,10.4,0.0,INFP,335,712,False,2.59,2.25,Current Employee
Andrew,Robinson,1987-03-31,3498 Stephen Vista,30167,Male,Black,Fluent,Basic,High School,2.05,3.22,11.4,0.0,INFP,920,747,False,2.91,2.63,Current Employee
Colleen,Daniels,1984-08-16,59308 Smith Knolls,60531,Female,Black,Basic,Basic,None,,,14.6,0.0,ISFP,356,582,False,3.14,2.72,Current Employee
Christina,Harris,1990-03-28,764 Tammy Vista,72361,Female,Black,Basic,Basic,High School,3.36,3.4,8.8,0.0,ISTP,678,537,False,1.95,1.89,Current Employee
Janet,Moore,1984-12-14,59587 Davila Fall,43711,Female,Black,Fluent,Basic,High School,2.71,2.76,14.3,0.0,INFJ,385,827,False,3.51,3.13,Current Employee
Antonio,Mack,1991-05-23,7996 Greer Pines,60531,Male,Black,Basic,Basic,High School,2.17,3.69,6.6,0.0,ESFJ,394,1777,False,1.58,1.35,Current Employee
Brian,Thompson,1985-09-27,9864 Barbara Tunnel Apt. 690,59010,Male,Black,Fluent,Basic,High School,3.14,3.28,14.7,0.0,INTJ,925,1837,False,3.51,3.28,Current Employee
Kathleen,Mills,1987-08-29,98416 Cox Isle Apt. 963,55864,Female,Black,Fluent,Basic,High School,3.19,2.87,10.7,0.0,ESFP,3402,639,False,2.89,2.59,Current Employee
Emily,Merritt,1983-10-28,6165 Peterson Vista,59010,Female,Black,Basic,Basic,High School,3.03,3.0,14.2,0.0,ESTP,377,597,False,3.22,3.03,Current Employee
Hannah,Thomas,1988-08-07,4426 Walker Course,86553,Female,Black,Basic,Basic,High School,3.3,3.23,9.4,0.0,ESFJ,398,610,False,2.25,1.96,Current Employee
Steven,Adams,1993-06-22,240 Michael Views Suite 704,43357,Male,Black,Basic,Basic,None,,,5.4,0.0,ISFP,491,962,False,1.15,0.92,Current Employee
Brittany,Freeman,1986-09-14,77465 Daniels Common,43357,Female,Black,Basic,Basic,None,,,11.4,0.0,ENTJ,1302,3415,False,2.43,2.2,Current Employee
Bruce,Powell,1984-04-14,4827 Nicole Isle Suite 524,30167,Male,Black,Fluent,Basic,High School,3.27,3.76,15.6,0.0,ISFP,575,641,False,3.84,3.45,Current Employee
Daniel,Carter,1989-05-27,1183 Jaime Island,59010,Male,Black,Fluent,Basic,None,,,10.4,0.0,ESFJ,452,563,False,2.6,2.18,Current Employee
Derek,Taylor,1982-12-15,4945 Susan Pass Apt. 771,59010,Male,Black,Basic,Basic,None,,,15.1,0.0,ISFJ,387,738,False,3.2,2.73,Current Employee
Steven,Lambert,1997-03-20,076 David Way Apt. 568,30167,Male,Black,Fluent,Basic,High School,2.86,2.91,0.7,0.0,ENFP,718,966,True,0.74,0.7,Current Employee
Eric,Kennedy,1988-02-26,11136 Pamela Lodge Suite 822,60531,Male,Black,Basic,Proficient,High School,3.21,2.85,10.2,0.0,ESFJ,1227,537,True,2.5,2.28,Current Employee
Ralph,Peck,1989-10-27,252 Philip Corner Apt. 125,30167,Male,Black,Basic,Basic,High School,3.13,3.72,8.5,0.0,ESFP,341,1885,False,2.1,1.87,Current Employee
Paula,Berg,1984-10-09,293 Jennifer Brook,72361,Female,Black,Basic,Basic,None,,,13.2,0.0,ESTP,480,8218,False,2.85,2.6,Current Employee
Mackenzie,Schmitt,1992-07-07,8644 Heidi Glens,72361,Female,Black,Fluent,Basic,None,,,7.3,0.0,ISFP,347,2612032,False,1.87,1.57,Current Employee
Alex,Aguirre,1984-09-09,4011 Mcdonald Groves,30167,Male,Black,Basic,Basic,High School,3.9,3.25,15.5,0.0,ESFP,377,1075,False,3.64,3.27,Current Employee
Brenda,King,1988-12-23,8497 Jade Estate,86553,Female,Black,Basic,Basic,None,,,10.1,0.0,ENFJ,545,719,False,2.25,1.89,Current Employee
Jordan,Anderson,1992-05-30,44151 Wendy Parkways,55864,Female,Black,Basic,Basic,High School,2.44,3.01,6.0,0.0,ENFJ,893,6387,False,1.49,1.31,Current Employee
Evan,Ferrell,1987-05-11,1243 Lee Estate Apt. 003,59010,Male,Black,Fluent,Basic,High School,3.5,3.56,12.6,0.0,ESFP,518,1811,False,3.31,2.97,Current Employee
Sheri,Hardy,1983-09-02,4385 Welch Dam Suite 889,86553,Female,Black,Basic,Basic,None,,,14.4,0.0,ESTJ,471,6435,False,3.05,2.74,Current Employee
Tammie,Gibson,1986-04-02,99697 Russell Street Suite 129,43711,Female,Black,Basic,Basic,High School,2.42,3.07,11.8,0.0,ENFP,993,3963,False,2.8,2.54,Current Employee
Samantha,Jackson,1993-05-25,5966 Richard Passage,60531,Female,Black,Basic,Basic,High School,3.67,3.97,4.9,0.0,ESFJ,802,636,False,1.29,1.09,Current Employee
Jonathan,Pace,1995-02-21,97805 Kimberly Wells,59010,Male,Black,Fluent,Basic,None,,,2.9,0.0,ISFP,389,506,False,0.93,0.71,Current Employee
Victoria,Walters,1992-08-05,98101 Wilcox Tunnel Suite 119,60531,Female,Black,Proficient,Basic,None,,,5.5,0.0,ESFJ,481,649,False,1.44,1.13,Current Employee
Colton,Turner,1987-03-08,0023 David Springs,43357,Male,Black,Basic,Basic,High School,2.63,3.59,12.2,0.0,ISFJ,321,1900,False,2.7,2.37,Current Employee
Patrick,Odonnell,1988-10-19,379 Savage Mount,60531,Male,Black,Proficient,Basic,High School,2.84,3.09,9.7,0.0,ESFJ,1924,1031,False,2.5,2.19,Current Employee
Scott,Hicks,1997-09-18,3214 William Road,55864,Male,Black,Proficient,Basic,High School,2.78,3.77,0.5,0.0,ESTJ,637,648,False,0.4,0.43,Fired
Stephanie,Robinson,1996-11-11,6080 Nichols Islands Suite 181,60531,Female,Black,Basic,Basic,None,,,1.1,0.0,ESFJ,302,1228,False,0.27,0.07,Fired
Connie,Bush,1998-01-04,3163 Thomas Ford Suite 452,30167,Female,Black,Proficient,Basic,High School,3.99,2.55,0.8,0.0,ISTP,683,954,False,0.46,0.54,Fired
Noah,Griffith,1987-11-17,3336 Rangel Knolls Apt. 320,30167,Male,Black,Basic,Basic,Associates,2.07,3.42,11.3,0.0,ISTJ,1230,523,False,2.58,2.5,Current Employee
Evan,Peterson,1994-03-07,043 Taylor Village Suite 835,55864,Male,Black,Fluent,Basic,Associates,3.56,2.57,4.0,0.0,ISTP,306,1042,False,1.3,1.38,Current Employee
Julia,Henderson,1991-10-28,78920 Powell Center,60531,Female,Black,Fluent,Basic,None,,,7.8,0.0,ISFJ,2326,645,False,1.93,1.58,Current Employee
Sandra,Harris,1992-07-05,6881 Brent Springs,30167,Female,Black,Fluent,Basic,High School,2.83,2.72,7.2,0.0,ENFJ,324,1197,False,2.09,1.84,Current Employee
Karen,Brown,1985-02-28,95750 Brianna Rue Suite 164,30167,Female,Black,Fluent,Basic,None,,,12.5,0.0,INTP,451,702,False,2.94,2.71,Current Employee
Christine,Rogers,1988-07-05,8336 Washington Street Apt. 033,86553,Female,Black,Fluent,Basic,High School,2.69,2.67,11.7,0.0,ENFP,427,511,False,3.1,2.81,Current Employee
Eric,Black,1984-05-19,6200 Corey Pine,55864,Male,Black,Proficient,Basic,High School,3.85,3.69,13.5,0.0,ISFJ,361,979,False,3.27,2.89,Current Employee
Benjamin,Long,1987-06-29,8978 Brock Stream,60531,Male,Black,Fluent,Basic,High School,2.8,3.15,10.8,0.0,ESTJ,763,1215,True,2.73,2.57,Current Employee
Gabriel,Davis,1998-02-04,40065 Ashlee Wells,59010,Male,Black,Basic,Basic,High School,3.24,3.64,1.7,0.0,INFJ,572,654,False,0.49,0.39,Fired
William,Sanchez,1995-05-20,9924 Guerra Crest Apt. 213,43711,Male,Black,Basic,Basic,High School,2.61,3.59,2.5,0.0,ISFJ,2168,1387,True,0.61,0.5,Current Employee
Brenda,Adams,1990-10-29,35300 Jacob Parkways,59010,Female,Black,Basic,Basic,High School,2.03,3.64,7.5,0.0,ESFP,1055,2255,False,1.82,1.62,Current Employee
Jessica,Madden,1997-12-17,6456 Michael Harbors Suite 473,43357,Female,Black,Fluent,Basic,None,,,0.0,0.0,ESFP,344,981,False,0.4,0.24,Fired
Anthony,Ramirez,1997-11-16,997 Torres Junction,60531,Male,Black,Fluent,Basic,High School,3.37,3.46,1.0,0.0,ISFJ,329,119483,False,0.63,0.5,Current Employee
Ryan,Solomon,1996-03-11,426 Torres Radial,59010,Male,Black,Fluent,Basic,High School,2.82,3.17,1.1,0.0,ISTP,314,946,False,0.58,0.64,Current Employee
Albert,Howe,1988-09-24,5859 Julie Mission,43357,Male,Black,Basic,Basic,High School,3.37,3.57,11.8,0.0,ISTJ,2800,8905,False,2.55,2.38,Current Employee
David,Hunt,1988-03-07,945 Michelle Key Suite 655,30167,Male,Black,Proficient,Basic,High School,3.89,2.92,10.5,0.0,ESFJ,400,1782,False,2.72,2.39,Current Employee
Mary,Sullivan,1996-10-02,1415 Pruitt Curve,60531,Female,Black,Basic,Basic,None,,,3.7,0.0,ESTP,368,671,False,0.77,0.72,Current Employee
Teresa,Freeman,1997-03-15,14580 Shelly Dale,30167,Female,Black,Fluent,Proficient,None,,,1.9,0.0,ISFP,493,573,False,0.79,0.66,Current Employee
Karen,Harper,1989-05-31,09589 Adams Harbors Apt. 890,30167,Female,Black,Proficient,Basic,None,,,8.5,0.0,ENTJ,387,583,False,2.02,1.83,Current Employee
Tiffany,Hughes,1990-08-30,742 Jeff Landing Suite 141,60531,Female,Black,Fluent,Basic,High School,3.15,3.87,8.2,0.0,ISTP,714,1339,False,2.13,2.05,Current Employee
George,Thornton,1990-02-16,23385 Fox Ports,59010,Male,Black,Basic,Basic,High School,3.55,3.03,8.6,0.0,INFJ,436,512,False,2.01,1.77,Current Employee
Richard,Branch,1987-06-29,834 Miller Turnpike Suite 731,86553,Male,Black,Proficient,Basic,None,,,12.5,0.0,ESTJ,1078,1437,False,2.84,2.54,Current Employee
Kevin,Holloway,1982-11-06,23087 Mccarthy Point Suite 936,60531,Male,Black,Basic,Basic,High School,3.12,3.83,16.7,0.0,ISFJ,3054,953,True,3.7,3.31,Current Employee
Natalie,Larson,1995-10-06,7137 Kara Lakes Apt. 074,86553,Female,Black,Basic,Basic,Associates,2.01,3.53,4.3,0.0,ISTP,303,681,False,1.13,1.23,Current Employee
Victoria,Jones,1993-12-19,876 Duncan Points Apt. 130,60531,Female,Black,Fluent,Basic,None,,,3.9,0.0,ESTJ,365,969,False,1.09,0.96,Current Employee
Jacqueline,Oneal,1988-09-06,2521 Davis Union Apt. 159,30167,Female,Black,Fluent,Basic,High School,2.13,3.09,10.7,0.0,ISFJ,358,2836,False,2.67,2.34,Current Employee
Brenda,Price,1987-08-22,29013 Leonard Fields Suite 263,59010,Female,Black,Proficient,Basic,High School,3.84,3.35,12.3,0.0,ESTP,852,725,True,3.05,2.91,Current Employee
Kristen,Kelley,1986-01-03,78598 Graves Ferry,59010,Female,Black,Proficient,Basic,High School,2.45,3.0,12.4,0.0,INFP,517,1755,False,3.04,2.75,Current Employee
Ana,Cameron,1989-04-09,6095 Jose Ridges,60531,Female,Black,Proficient,Basic,None,,,10.0,0.0,ESFP,431,1695,False,2.46,2.1,Current Employee
Lauren,Bray,1990-09-05,59938 Powell Crest Suite 978,59010,Female,Black,Proficient,Basic,Associates,2.3,3.66,9.1,0.0,ISFP,302,503,False,2.5,2.33,Current Employee
Ashley,Combs,1987-10-20,5671 Martinez Manors,59010,Female,Black,Basic,Basic,None,,,11.9,0.0,INFP,318,1023,False,2.59,2.25,Current Employee
Cassandra,Lewis,1985-10-06,529 Richards Overpass Apt. 867,60531,Female,Black,Proficient,Basic,None,,,14.2,0.0,ISTJ,2832,527,True,3.1,2.81,Current Employee
Mark,White,1983-08-02,4810 Ronald Tunnel Apt. 087,60531,Male,Black,Basic,Basic,High School,2.11,2.91,15.4,0.0,ISFJ,335,3546,True,3.37,3.01,Current Employee
Nicole,Riley,1988-07-19,8490 Jones Flats Apt. 582,60531,Female,Black,Fluent,Basic,High School,3.12,3.74,9.5,0.0,ISFJ,1995,500,False,2.47,2.16,Fired
Kimberly,Perez,1991-07-24,024 Brian Radial,43711,Female,Black,Proficient,Basic,High School,3.16,3.49,8.5,0.0,ESFJ,344,693,False,2.25,1.96,Current Employee
Melissa,Roman,1992-12-17,66775 Bradley Drive Suite 592,60531,Female,Black,Basic,Basic,High School,2.54,2.62,5.2,0.0,ISTJ,324,1621,True,1.08,1.08,Current Employee
Laura,Newton,1988-07-01,862 Christopher Rapids Apt. 087,30167,Female,Black,Basic,Basic,High School,2.8,2.64,10.9,0.0,ISFJ,3518,680,True,2.43,2.16,Current Employee
Connie,Smith,1982-12-23,00938 Morgan Spurs Suite 940,55864,Female,Black,Fluent,Basic,High School,2.89,3.08,16.6,0.0,ISFP,490,1387,False,4.04,3.63,Current Employee
Vanessa,Brown,1983-12-31,519 Blanchard Hollow Suite 390,43711,Female,Black,Proficient,Basic,High School,3.27,3.68,15.9,0.0,ISFP,810,830,False,3.8,3.42,Current Employee
Jeffrey,Morgan,1995-07-10,1807 Daniel Circles,30167,Male,Black,Fluent,Basic,Associates,3.63,3.34,2.4,0.0,ESFJ,2936,582,False,1.18,1.09,Current Employee
Todd,Wu,1989-07-17,90266 Arthur Run Apt. 274,43357,Male,Black,Proficient,Basic,High School,3.91,3.89,9.7,0.0,ESFP,569,3600,False,2.6,2.33,Current Employee
Tracey,Webb,1994-12-13,15270 Buchanan Freeway,60531,Female,Black,Fluent,Basic,None,,,4.2,0.0,ESTJ,671,522,False,1.15,1.01,Fired
Cheyenne,Watson,1993-03-14,364 Robert Station Suite 972,30167,Female,Black,Fluent,Basic,High School,2.18,3.1,5.1,0.0,ISFP,492,5766,False,1.52,1.35,Current Employee
Lauren,Russell,1986-02-23,5956 Haynes Throughway Suite 616,59010,Female,Black,Fluent,Basic,None,,,13.5,0.0,ISFJ,327,774,False,3.16,2.69,Current Employee
Taylor,Johnson,1996-06-07,5838 Hester Shore,30167,Female,Black,Basic,Basic,High School,2.18,3.69,3.7,0.0,ESFJ,1269,2040,False,0.94,0.78,Current Employee
Shelby,Woods,1987-01-27,45209 Mckinney Isle Apt. 047,59010,Female,Black,Basic,Basic,None,,,11.5,0.0,ESTJ,775,556,False,2.42,2.16,Fired
Jackie,Torres,1989-06-19,1674 Robert Place Apt. 997,60531,Female,Black,Fluent,Basic,Associates,3.75,2.52,10.3,0.0,ISTJ,2919,509,False,2.6,2.52,Current Employee
William,Mcdaniel,1995-03-11,549 April Falls,30167,Male,Black,Proficient,Basic,High School,3.47,4.0,4.0,0.0,ESFJ,513,1299,False,1.29,1.09,Current Employee
Angela,Taylor,1984-10-22,790 Buckley Estates,55864,Female,Black,Fluent,Basic,High School,3.6,3.41,15.4,0.0,ISFP,1754,710,False,3.82,3.43,Current Employee
Megan,Barnes,1986-03-31,950 Flores Heights,30167,Female,Black,Proficient,Basic,High School,2.05,2.92,11.6,0.0,ESTJ,971,681,False,2.76,2.57,Current Employee
Marvin,Davis,1989-05-01,9432 Garcia Squares,59010,Male,Black,Fluent,Basic,High School,2.01,3.84,10.7,0.0,INFP,832,33577,False,2.75,2.49,Current Employee
Daniel,Flowers,1993-12-23,626 Smith Forges Apt. 744,43357,Male,Black,Fluent,Basic,High School,3.37,2.83,3.9,0.0,ISTP,314,1039,False,1.21,1.22,Current Employee
Paula,Richardson,1989-12-13,903 Thomas Fall Suite 665,30167,Female,Black,Basic,Basic,None,,,7.8,0.0,ESFJ,441,948,False,1.72,1.39,Current Employee
Brian,May,1988-03-12,83789 Reynolds Mission,60531,Male,Black,Proficient,Basic,None,,,9.4,0.0,INFJ,433,627,False,2.21,1.86,Current Employee
Katrina,Cook,1987-06-10,9061 Kelly Run Suite 052,30167,Female,Black,Fluent,Basic,High School,2.92,3.31,11.4,0.0,ENTJ,338,779,False,2.9,2.72,Current Employee
William,Wright,1991-08-29,58393 Mikayla Shore Apt. 576,43357,Male,Black,Proficient,Basic,High School,3.4,2.59,6.6,0.0,INFJ,368,895,False,1.78,1.57,Fired
Lori,Powell,1988-08-25,27185 Matthew Loaf,43711,Female,Black,Proficient,Basic,High School,3.02,3.6,10.2,0.0,ESTP,307,1046,False,2.56,2.44,Current Employee
Steven,Carr,1988-11-21,5990 Robinson Stravenue,55864,Male,Black,Fluent,Basic,None,,,10.7,0.0,ISTJ,929,5332,False,2.45,2.19,Current Employee
Angela,Ibarra,1984-05-08,7349 Rodriguez Meadows Suite 020,59010,Female,Black,Basic,Basic,Associates,2.07,3.5,13.8,0.0,ISTP,1071,1118,False,3.19,3.1,Current Employee
Rachel,Mendoza,1986-02-16,032 Baldwin Falls,86553,Female,Black,Fluent,Basic,High School,2.04,3.27,12.1,0.0,ISTJ,324,13296,False,2.87,2.67,Current Employee
Andrea,Moore,1996-02-04,8790 Mills Freeway,60531,Female,Black,Basic,Basic,Associates,3.06,3.49,2.9,0.0,ISFJ,18861,1354,False,0.87,0.81,Current Employee
Alex,Foley,1994-10-23,31370 Mary Junction Apt. 626,43711,Male,Black,Fluent,Basic,None,,,3.1,0.0,INFJ,556,41285,False,0.95,0.72,Current Employee
Susan,Luna,1995-05-31,68481 Perry Run,43357,Female,Black,Basic,Basic,High School,3.68,3.19,3.1,0.0,ENTJ,538,573,False,0.82,0.84,Current Employee
Anita,Ho,1982-12-25,6977 Sara Mills Apt. 533,59010,Female,Black,Fluent,Basic,High School,2.41,3.95,15.7,0.0,ESTJ,348,501,True,3.77,3.51,Current Employee
Elizabeth,Johns,1990-02-26,03297 Terri Track,30167,Female,Black,Basic,Basic,High School,3.08,2.99,9.2,0.0,ESFJ,392,11396,False,2.18,1.9,Current Employee
Kathleen,Mckay,1983-10-04,0091 Perez Cliff Apt. 694,60531,Female,Black,Fluent,Basic,High School,3.09,2.6,15.6,0.0,ESFJ,374,1383,False,3.89,3.45,Current Employee
Rachel,Thomas,1993-12-20,974 Grace Flat,43357,Female,Black,Fluent,Basic,None,,,4.6,0.0,ESTJ,716,9583,False,1.24,1.09,Current Employee
Michael,Clark,1997-01-12,2495 Rose Squares Suite 089,86553,Male,Black,Basic,Basic,High School,2.76,2.55,2.8,0.0,INFJ,854,746,False,0.7,0.59,Current Employee
Michael,Snyder,1991-12-31,66785 Rebecca Spurs Suite 484,30167,Male,Black,Basic,Proficient,High School,3.16,3.05,7.8,0.0,ESFP,418,561,False,2.02,1.87,Current Employee
Ryan,Morgan,1987-10-08,516 Gomez Pine,43357,Male,Black,Proficient,Basic,High School,2.4,3.45,10.3,0.0,ISFJ,646,642,False,2.5,2.19,Current Employee
Rachel,Warner,1992-04-10,69312 Bowers Fall Apt. 943,30167,Female,Black,Basic,Proficient,High School,3.56,3.52,7.5,0.0,ISFJ,420,557,False,1.82,1.64,Current Employee
Elizabeth,Stone,1996-06-17,5937 Tyler Fall,43357,Female,Black,Fluent,Basic,None,,,2.2,0.0,ESFP,480,691,False,0.88,0.67,Current Employee
Jennifer,Williams,1990-03-21,35027 Ibarra Lodge,43711,Female,Black,Basic,Proficient,High School,3.98,2.54,9.2,0.0,ENTJ,679,769,False,2.24,2.19,Current Employee
Jennifer,Hunter,1985-01-17,10180 Mcclain Ways,60531,Female,Black,Basic,Proficient,None,,,12.2,0.0,ESFJ,586,513,False,2.77,2.4,Current Employee
Matthew,Cox,1986-07-04,34403 Mahoney Points,55864,Male,Black,Basic,Basic,High School,3.21,2.76,11.4,0.0,ESFP,370,650,False,2.73,2.44,Current Employee
Philip,Frost,1988-09-03,007 Amanda Canyon Suite 028,60531,Male,Black,Fluent,Basic,High School,2.32,3.08,11.5,0.0,ISFJ,2391,2503,False,2.85,2.51,Current Employee
Benjamin,Freeman,1996-02-29,3037 Tanya Shore Suite 737,30167,Male,Black,Fluent,Basic,None,,,2.4,0.0,ISFJ,966,732,False,0.76,0.52,Current Employee
Anna,Estrada,1994-12-31,697 Allen Circle Suite 762,59010,Female,Black,Proficient,Basic,High School,3.46,3.42,3.4,0.0,ISTJ,586,558,False,0.95,0.93,Current Employee
Donna,Erickson,1997-07-11,33370 Randy Tunnel Apt. 577,72361,Female,Black,Proficient,Basic,None,,,0.4,0.0,ISFP,336,2008,False,0.28,0.13,Fired
Amber,Elliott,1987-06-12,844 Finley Terrace,60531,Female,Black,Basic,Basic,None,,,11.6,0.0,ISTJ,1329,871,False,2.33,2.08,Current Employee
Ashley,Russell,1989-03-29,159 Joseph Lock Apt. 641,43357,Female,Black,Fluent,Basic,None,,,9.1,0.0,ENTP,304,558,False,2.3,2.13,Current Employee
Steven,Herman,1997-09-25,8996 Wilkinson Harbors Apt. 840,43357,Male,Black,Fluent,Basic,High School,2.37,3.9,1.0,0.0,ESFJ,439,1221,False,0.69,0.55,Current Employee
Michael,Ayala,1994-05-20,03531 Bobby Port Suite 258,55864,Male,Black,Basic,Basic,High School,3.22,3.07,3.2,0.0,ISTJ,1664,2484,False,0.69,0.69,Current Employee
Kimberly,Barnes,1984-08-01,2690 Gregory Manor Apt. 438,59010,Female,Black,Fluent,Basic,None,,,15.5,0.0,ISTP,416,713,False,3.54,3.23,Current Employee
Kenneth,Walton,1994-12-18,7335 Brittany Union,30167,Male,Black,Fluent,Proficient,High School,3.97,2.73,4.1,0.0,ISTJ,542,973,True,1.32,1.35,Current Employee
Jeffrey,Phillips,1990-03-30,91004 Debra Key Apt. 069,43711,Male,Black,Basic,Basic,None,,,7.6,0.0,INFJ,665,30967,False,1.61,1.31,Current Employee
Shane,Sandoval,1994-05-19,3585 Harvey Road Apt. 674,60531,Male,Black,Basic,Basic,None,,,3.4,0.0,ISTP,368,819,True,0.61,0.6,Current Employee
Diane,Wilkinson,1998-03-01,13895 Travis Lake,60531,Female,Black,Basic,Proficient,None,,,0.6,0.0,ISFP,331,9029,False,0.19,0.12,Fired
Bryan,Gomez,1996-08-11,11676 Tyler Brooks,60531,Male,Black,Fluent,Basic,Associates,2.85,3.09,1.9,0.0,INTJ,1693,1787,False,0.87,0.98,Current Employee
Patricia,Lee,1988-06-09,326 Phillips Course Apt. 514,59010,Female,Black,Fluent,Basic,Associates,3.46,3.65,11.2,0.0,ISFJ,433,1491,False,3.0,2.74,Current Employee
Jacqueline,Watkins,1990-02-28,0703 Denise Well Apt. 460,60531,Female,Black,Proficient,Basic,High School,3.53,3.29,9.2,0.0,ENTJ,407,624,False,2.34,2.22,Current Employee
